date,city,cargo on y/n,cargo off y/n,packages on #,packages off #,goods-on name,goods-off name,
1865-06-07,Baghdad,1,0,,,"223 bales wool, cloth",,
1865-06-08,Kut,1,0,,,"wood, 15 dubbes ghi, 2 bales 'abas",,
1865-06-09,Hud,1,1,,,wood ,yes,
1865-06-09,Qurnah,0,1,,,,yes,
1865-06-11,Basra,1,0,,,15 tons coal,,
1865-06-18,Defass,1,0,,,wood,,
1865-06-19,Seyd Mohamed,1,0,,,"wood, 50 skins ghi",,
1865-06-20,Kut,1,0,,,wood,,
1865-06-20,Memlah,1,0,,,wood,,
1865-06-21,Qubba,1,0,,,wood,,
1865-06-22,Diwaniyah,1,0,,,wood,,
1865-06-28,Baghdad,1,0,,,"55 lakhs wheat, cloth",,
1865-06-29,Memlah,1,0,,,wood,,
1865-06-29,Kut,1,0,,,wood,,
1865-06-30,Defass,0,1,,,,yes,
1865-07-01,Abdullah ibn Ali,0,1,,,,38 bales cloth and shoes,
1865-07-03,Basra,1,0,,,700 bags tobacco,,
1865-07-05,Defass,1,0,,,"wood, cargo",,
1865-07-06,Ali Sharqi,1,0,,,30 skins ghi,,
1865-07-06,Kut,1,0,,,wood ,,
1865-07-07,Merilan,1,0,,,wood,,
1865-07-07,Qubba,1,0,,,wood,,
1865-07-11,Diwaniyah,1,0,,,wood,,
1865-07-12,Memlah,1,0,,,wood,,
1865-07-13,Kut,1,0,,,wood,,
1865-07-14,Hud ,1,0,,,wood,,
1865-07-16,Basra,1,0,,,"coffee, sugar",,
1865-07-19,Defass,1,0,,,wood,,
1865-07-20,Kut,1,0,,,"wood, 60 baskets coal, cargo",,
1865-07-21,Memlah,1,0,,,wood,,
1865-07-22,Qubba,1,0,,,"wood, coal",,
1865-07-26,Baghdad,1,0,,,55 lakhs wheat ,,
1865-07-27,Diwaniyah,1,0,,,wood,,
1865-07-28,Memlah,1,0,,,wood,,
1865-07-29,Kut,0,1,,,,yes,
1865-07-29,Seyd Mohamed,1,0,,,wood,,
1865-07-30,Defass,1,0,,,coal,,
1865-07-31,Maghil,1,0,,,15 tons coal,,
1865-08-06,Basra,1,0,,,1700 packages 8700 okkas; plus 1000 packages,,
1865-08-07,Maghil,1,0,,,letters,,
1865-08-08,Defass,1,0,,,wood,,
1865-08-09,Maghesil,1,0,,,wood,,
1865-08-09,Kut,1,0,,,wood,,
1865-08-10,Memlah,1,0,,,wood,,
1865-08-16,Baghdad,1,0,,,"65 lakhs wheat, tobacco, other",,
1865-08-17,Diwaniyah,1,0,,,wood,,
1865-08-19,Memlah,1,0,,,wood,,
1865-08-20,Kut,1,0,,,"wood, grain",,
1865-08-22,Maghesil,0,1,,,,bale of drugs,
1865-08-22,Defass,1,1,,,wood,yes,
1865-08-24,Qurnah,0,1,,,,38 bales tobacco,
1865-08-24,Maghil,0,1,,,,"145 bales wheat, more wheat and cargo",
1865-08-24,Basra,1,0,,,"400 packages, wool",,
1865-08-28,Hud,1,0,,,"wood, cargo",,
1865-08-30,Kut,1,0,,,"50 bales wool, wood",,
1865-08-30,Memlah,1,0,,,wood,,
1865-08-31,Qubba,1,1,,,"wood, coal",dead body,
1865-09-06,Baghdad,1,0,,,"wheat, tobacco, cloth",,
1865-09-07,Qubba,1,0,,,wood,,
1865-09-08,Shadi,0,1,,,,provisions for wooding port,
1865-09-09,Kut,1,1,,,"wood, coal",yes,
1865-09-10,Maghesil,1,0,,,wood,,
1865-09-11,Defass,1,1,,,wood,yes,
1865-09-12,Qurnah,0,1,,,,46 bales,
1865-09-13,Maghil,1,1,,,12 tons coal,"wheat, cargo",
1865-09-16,Basra,1,0,,,"24,000 okkas",,
1865-09-18,Defass,1,0,,,109 bales wool,,
1865-09-19,Maghesil,1,0,,,wood,,
1865-09-20,Shaykh Saad,0,1,,,,6 bales henna,
1865-09-20,Kut,1,0,,,wood,,
1865-09-21,Memlah,1,0,,,wood,,
1865-09-21,Qubba,1,0,,,wood,,
1865-09-22,Suwayrah,1,0,,,wood,,
1865-10-17,Baghdad,1,0,,,"157 bales wool, 40 lakhs wheat",,
1865-10-18,Diwaniyah,1,0,,,wood,,
1865-10-20,Memlah,1,0,,,wood,,
1865-10-22,,1,1,,,"wood, 17 bales 'abas",cargo,
1865-10-23,Shaykh Saad,0,1,,,,8 packages,
1865-10-24,MAghesil,1,0,,,wood,,
1865-10-24,Defass,1,1,,,wood,cargo,
