date,city,pass-on y/n,pass-off y/n,pass-on #,trip total passengers,pass-off #,notes
1865-06-07,Baghdad,1,0,40,,,
1865-06-09,Hud,0,0,,,,
1865-06-09,Qurnah,0,1,,,3,
1865-06-18,Defass,0,0,,,,
1865-06-30,Shaykh Saad,0,1,,,1,
1865-06-30,Defass,0,0,,,,
1865-07-01,Abdullah ibn Ali,0,1,,,8,
1865-07-05,Azair,1,0,4,,,
1865-07-05,Defass,0,0,,,,
1865-07-06,Kut,1,0,67,,,
1865-07-11,Baghdad,1,0,45,,,
1865-07-14,Hud ,0,1,,,6,
1865-07-15,Qurnah,0,1,,,7,
1865-07-20,Kut,0,0,,,,
1865-07-26,Baghdad,0,0,,,,
1865-07-29,Kut,0,0,,,,
1865-07-31,Azair,0,1,,,1,
1865-07-31,Qurnah,0,1,,,1,
1865-07-31,Basra,0,0,,,,
1865-08-07,Qurnah,0,1,,,3,
1865-08-07,Azair,0,1,,,1,
1865-08-16,Baghdad,1,0,50,,,
1865-08-22,Maghesil,1,1,1,,3,
1865-08-22,Defass,0,1,,,15,
1865-08-24,Qurnah,0,1,,,4,
1865-08-24,Basra,1,0,40,,,
1865-08-28,Hud,0,0,,,,
1865-08-29,Shaykh Saad,1,1,2,,5,
1865-08-30,Kut,0,0,,,,
1865-09-06,Baghdad,1,0,104,,,
1865-09-10,Shaykh Saad,0,1,,,2,
1865-09-11,Defass,0,0,,,,
1865-09-12,Azair,0,1,,,2,
1865-09-12,Qurnah,0,1,,,7,
1865-09-16,Basra,1,0,34,,,
1865-09-18,Qurnah,1,1,10,,1,
1865-09-18,Azair,1,0,17,,,
1865-09-18,Defass,1,0,27,,,
1865-09-20,Shaykh Saad,0,1,,,1,
1865-09-20,Kut,1,0,6,,,
1865-10-22,,0,1,,,1,
1865-10-23,Shaykh Saad,0,1,,,1,
1865-10-24,Defass,0,1,,,9,
1865-10-25,Qurnah,0,1,,,8,
1865-10-28,Basra,1,0,20,,,
1865-10-29,Maghil,0,1,,,1,
1865-10-30,Defass,0,0,,,,
1865-10-31,Shaykh Saad,0,1,,,3,
